usage_code,construction_year_bin,heat_demand_kWh_m2_year
110,0,137
110,1,156
110,2,173
110,3,179
110,4,138
110,5,126
110,6,115
110,7,106
110,8,82
120,0,152
120,1,185
120,2,197
120,3,163
120,4,123
120,5,110
120,6,97
120,7,82
120,8,65
121,0,152
121,1,185
121,2,197
121,3,163
121,4,123
121,5,110
121,6,97
121,7,82
121,8,65
130,0,170
130,1,180
130,2,192
130,3,172
130,4,130
130,5,112
130,6,80
130,7,69
130,8,67
131,0,170
131,1,180
131,2,192
131,3,172
131,4,130
131,5,112
131,6,80
131,7,69
131,8,67
132,0,170
132,1,180
132,2,192
132,3,172
132,4,130
132,5,112
132,6,80
132,7,69
132,8,67
140,0,143
140,1,139
140,2,144
140,3,148
140,4,117
140,5,116
140,6,84
140,7,76
140,8,68
150,0,182
150,1,177
150,2,164
150,3,141
150,4,128
150,5,180
150,6,122
150,7,111
150,8,86
160,0,249
160,1,206
160,2,171
160,3,186
160,4,153
160,5,143
160,6,125
160,7,112
160,8,82
185,0,142
185,1,172
185,2,196
185,3,155
185,4,151
185,5,131
185,6,106
185,7,74
185,8,83
190,0,142
190,1,172
190,2,196
190,3,155
190,4,151
190,5,131
190,6,106
190,7,74
190,8,83
210,0,215
210,1,244
210,2,235
210,3,190
210,4,198
210,5,192
210,6,157
210,7,166
210,8,148
211,0,0
211,1,0
211,2,0
211,3,0
211,4,0
211,5,0
211,6,0
211,7,0
211,8,0
212,0,0
212,1,0
212,2,0
212,3,0
212,4,0
212,5,0
212,6,0
212,7,0
212,8,0
213,0,0
213,1,0
213,2,0
213,3,0
213,4,0
213,5,0
213,6,0
213,7,0
213,8,0
214,0,0
214,1,0
214,2,0
214,3,0
214,4,0
214,5,0
214,6,0
214,7,0
214,8,0
215,0,0
215,1,0
215,2,0
215,3,0
215,4,0
215,5,0
215,6,0
215,7,0
215,8,0
216,0,0
216,1,0
216,2,0
216,3,0
216,4,0
216,5,0
216,6,0
216,7,0
216,8,0
217,0,0
217,1,0
217,2,0
217,3,0
217,4,0
217,5,0
217,6,0
217,7,0
217,8,0
218,0,0
218,1,0
218,2,0
218,3,0
218,4,0
218,5,0
218,6,0
218,7,0
218,8,0
219,0,215
219,1,244
219,2,235
219,3,190
219,4,198
219,5,192
219,6,157
219,7,166
219,8,148
220,0,183
220,1,171
220,2,163
220,3,151
220,4,142
220,5,141
220,6,107
220,7,103
220,8,94
221,0,183
221,1,171
221,2,163
221,3,151
221,4,142
221,5,141
221,6,107
221,7,103
221,8,94
222,0,183
222,1,171
222,2,163
222,3,151
222,4,142
222,5,141
222,6,107
222,7,103
222,8,94
223,0,183
223,1,171
223,2,163
223,3,151
223,4,142
223,5,141
223,6,107
223,7,103
223,8,94
229,0,183
229,1,171
229,2,163
229,3,151
229,4,142
229,5,141
229,6,107
229,7,103
229,8,94
230,0,195
230,1,195
230,2,104
230,3,104
230,4,171
230,5,184
230,6,145
230,7,227
230,8,164
231,0,195
231,1,195
231,2,104
231,3,104
231,4,171
231,5,184
231,6,145
231,7,227
231,8,164
232,0,195
232,1,195
232,2,104
232,3,104
232,4,171
232,5,184
232,6,145
232,7,227
232,8,164
233,0,195
233,1,195
233,2,104
233,3,104
233,4,171
233,5,184
233,6,145
233,7,227
233,8,164
234,0,195
234,1,195
234,2,104
234,3,104
234,4,171
234,5,184
234,6,145
234,7,227
234,8,164
239,0,195
239,1,195
239,2,104
239,3,104
239,4,171
239,5,184
239,6,145
239,7,227
239,8,164
290,0,211
290,1,185
290,2,184
290,3,161
290,4,138
290,5,183
290,6,105
290,7,132
290,8,72
310,0,200
310,1,178
310,2,211
310,3,204
310,4,176
310,5,121
310,6,112
310,7,119
310,8,101
311,0,200
311,1,178
311,2,211
311,3,204
311,4,176
311,5,121
311,6,112
311,7,119
311,8,101
312,0,200
312,1,178
312,2,211
312,3,204
312,4,176
312,5,121
312,6,112
312,7,119
312,8,101
313,0,200
313,1,178
313,2,211
313,3,204
313,4,176
313,5,121
313,6,112
313,7,119
313,8,101
314,0,200
314,1,178
314,2,211
314,3,204
314,4,176
314,5,121
314,6,112
314,7,119
314,8,101
315,0,200
315,1,178
315,2,211
315,3,204
315,4,176
315,5,121
315,6,112
315,7,119
315,8,101
319,0,200
319,1,178
319,2,211
319,3,204
319,4,176
319,5,121
319,6,112
319,7,119
319,8,101
320,0,124
320,1,125
320,2,153
320,3,144
320,4,125
320,5,114
320,6,95
320,7,75
320,8,55
321,0,124
321,1,125
321,2,153
321,3,144
321,4,125
321,5,114
321,6,95
321,7,75
321,8,55
322,0,124
322,1,125
322,2,153
322,3,144
322,4,125
322,5,114
322,6,95
322,7,75
322,8,55
323,0,124
323,1,125
323,2,153
323,3,144
323,4,125
323,5,114
323,6,95
323,7,75
323,8,55
324,0,124
324,1,125
324,2,153
324,3,144
324,4,125
324,5,114
324,6,95
324,7,75
324,8,55
325,0,124
325,1,125
325,2,153
325,3,144
325,4,125
325,5,114
325,6,95
325,7,75
325,8,55
329,0,124
329,1,125
329,2,153
329,3,144
329,4,125
329,5,114
329,6,95
329,7,75
329,8,55
330,0,215
330,1,175
330,2,170
330,3,152
330,4,182
330,5,149
330,6,135
330,7,146
330,8,117
331,0,215
331,1,175
331,2,170
331,3,152
331,4,182
331,5,149
331,6,135
331,7,146
331,8,117
332,0,215
332,1,175
332,2,170
332,3,152
332,4,182
332,5,149
332,6,135
332,7,146
332,8,117
333,0,215
333,1,175
333,2,170
333,3,152
333,4,182
333,5,149
333,6,135
333,7,146
333,8,117
334,0,215
334,1,175
334,2,170
334,3,152
334,4,182
334,5,149
334,6,135
334,7,146
334,8,117
339,0,215
339,1,175
339,2,170
339,3,152
339,4,182
339,5,149
339,6,135
339,7,146
339,8,117
390,0,102
390,1,121
390,2,140
390,3,162
390,4,113
390,5,197
390,6,128
390,7,99
390,8,134
410,0,182
410,1,162
410,2,163
410,3,156
410,4,150
410,5,138
410,6,121
410,7,116
410,8,123
411,0,182
411,1,162
411,2,163
411,3,156
411,4,150
411,5,138
411,6,121
411,7,116
411,8,123
412,0,182
412,1,162
412,2,163
412,3,156
412,4,150
412,5,138
412,6,121
412,7,116
412,8,123
413,0,182
413,1,162
413,2,163
413,3,156
413,4,150
